id;id_co;prix_total;date;adresse_livraison
1;44928;80404;2023-04-09T12:24:36;PCI software
2;59840;77157;2023-04-08T16:53:28;incubate Account
3;98083;80971;2023-04-09T01:56:16;systems Shilling full-range
4;83577;54746;2023-04-09T10:49:53;Saint-Denis leading
5;19873;92016;2023-04-09T12:32:45;Automotive customized exploit
6;89526;31057;2023-04-09T11:56:46;Oro
7;48327;34235;2023-04-08T22:13:26;Aquitaine Designer
8;79062;64776;2023-04-08T22:40:09;mobile Ouzbékistan
9;74730;24446;2023-04-09T03:12:31;Rupiah mindshare
10;8617;57267;2023-04-08T20:33:18;Lituanie violet
